accessionId	version	lastUpdated	created	lastUpdatedBy	createdBy	title	dateExpression	dateBegin	dateEnd	bulkDateBegin	bulkDateEnd	extentNumber	containerSummary	extentType	displayCreator	displayRepository	displaySource	restrictionsApply	accessionNumber1	accessionNumber2	accessionNumber3	accessionNumber4	accessionDate	resourceType	description	inventory	conditionNote	acquisitionType	acknowledgementDate	agreementSentDate	agreementReceivedDate	processingPlan	accessionProcessedDate	accessionDispositionNote	retentionRule	cataloged	rightsTransferred	catalogedNote	accessRestrictionsNote	useRestrictionsNote	generalAccessionNote	processingPriority	processors	processingStatus	acknowledgementSent	agreementSent	agreementReceived	accessionProcessed	accessRestrictions	useRestrictions	catalogedDate	rightsTransferredDate	processingStartedDate	rightsTransferredNote	userDefinedDate1	userDefinedDate2	userDefinedBoolean1	userDefinedBoolean2	userDefinedInteger1	userDefinedInteger2	userDefinedReal1	userDefinedReal2	userDefinedString1	userDefinedString2	userDefinedString3	userDefinedText1	userDefinedText2	userDefinedText3	userDefinedText4	repositoryId
1097	5	2017-10-30 11:11:18.787	2011-06-13 07:35:32.880	mjkruse	johnemm	George Fortune Collection		NULL	NULL	NULL	NULL	NULL			Fortune, G. (George)	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	259	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	Aleph: 022268969 | OCLC: 86082755 | 			The original collection stemmed from records found within a purashed collection of Fortune's monographs. A 2013 donation was added to this collection and the collection description has be redone to show this addition. (Steve Duckworth, September 2015)			Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms205.xml							1
1098	2	2011-12-01 07:31:32.287	2011-06-13 07:35:32.897	johnemm	johnemm	George Shepperson Collection		NULL	NULL	NULL	NULL	NULL			Shepperson, George	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	260	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 206							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms206.xml							1
1099	2	2011-11-04 11:21:14.553	2011-06-13 07:35:32.897	johnemm	johnemm	J. Herbert Burke Papers		NULL	NULL	NULL	NULL	NULL			Burke, J. Herbert	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	261	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections					NULL	NULL	NULL		NULL			1	0	MS 207							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms207.xml							1
1100	3	2011-12-13 08:12:46.733	2011-06-13 07:35:32.913	johnemm	johnemm	Platt Hiram Crosby Papers		NULL	NULL	NULL	NULL	NULL			Crosby, Platt H.	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	McCollum, Haile P.	0	2005	5	x		2005-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 208							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms208.xml							1
1101	3	2011-12-13 08:13:14.280	2011-06-13 07:35:32.913	johnemm	johnemm	Austin Shuey Mann Papers		NULL	NULL	NULL	NULL	NULL			Mann, Austin Shuey	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Jennings, May Mann, 1872-1963	0	0000	262	x		1911-01-01 00:00:00.000	Manuscripts - Political Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 209							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms209.xml							1
1102	2	2011-11-30 13:20:40.390	2011-06-13 07:35:32.927	johnemm	johnemm	Stephen C. O'Connell Papers		NULL	NULL	NULL	NULL	NULL			O'Connell, Stephen Cornelius	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	263	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections					NULL	NULL	NULL		NULL			1	0	MS 210							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms210.xml							1
1103	2	2011-11-05 20:07:59.957	2011-06-13 07:35:32.927	johnemm	johnemm	General Duncan Lamont Clinch Family Papers		NULL	NULL	NULL	NULL	NULL			Clinch, Duncan Lamont	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	264	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections					NULL	NULL	NULL		NULL			1	0	MS 211							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms211.xml							1
1104	3	2011-12-13 08:13:30.450	2011-06-13 07:35:32.943	johnemm	johnemm	Albert DeVane Collection		NULL	NULL	NULL	NULL	NULL			DeVane, Albert (George Albert)	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Hardy, Laymond	0	0000	265	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS 212							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms212.xml							1
1105	1	2011-11-03 07:13:17.043	2011-06-13 07:35:32.943	johnemm	johnemm	Bailey Family Papers		NULL	NULL	NULL	NULL	NULL			Bailey family	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	266	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections					NULL	NULL	NULL		NULL			1	0	MS 213							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms213.xml							1
1106	1	2011-11-03 07:13:23.463	2011-06-13 07:35:32.960	johnemm	johnemm	Bellamy Family Papers		NULL	NULL	NULL	NULL	NULL			Bellamy family	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	267	x		1911-01-01 00:00:00.000	Manuscripts - Florida History Collections					NULL	NULL	NULL		NULL			1	0	MS 214							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms214.xml							1
1107	2	2012-01-13 09:44:11.947	2011-06-13 07:35:32.960	johnemm	johnemm	Miscellaneous Cuban Documents		NULL	NULL	NULL	NULL	NULL	1 box			Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	268	x		1911-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections					NULL	NULL	NULL		NULL			0	0				This was an artificial collection of unrelated small collections relating to Cuba (MS Group 215). In 2012 it was broken apart and each of the items in the collection was given its own MS Group #. The items are: Lope de Tapia Document (now MS Group 215), King Charles IV of Spain's Real Cedula to Cuba (MS Group 302), Convento de San Francisco document (MS Group 303), "Movimiento 26 de Julio" $1.00 Note (MS Group 304), and the Album de la Revolucion Cubana (MS Group 305).				NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL								1
